"i","j","k"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,2,2
4,3,5
7,6,8
0,0,0
4,5,3
10,9,9
16,17,18
0,0,0
7,8,6
16,18,17
19,20,20
0,0,0
3,4,5
2,1,2
6,7,8
9,9,10
11,12,13
12,11,13
14,14,15
5,3,4
21,21,21
13,11,12
23,24,22
17,18,16
24,22,23
26,25,26
27,29,28
0,0,0
9,10,9
5,4,3
17,16,18
3,5,4
11,13,12
21,21,21
24,23,22
2,2,1
12,13,11
13,12,11
26,26,25
6,8,7
14,15,14
23,22,24
27,28,29
0,0,0
18,16,17
8,7,6
20,19,20
18,17,16
25,26,26
22,24,23
29,27,28
8,6,7
22,23,24
15,14,14
28,27,29
20,20,19
29,28,27
28,29,27
30,30,30
